year,race_ethnicity,total_count
2014,"Sheltered ES Homeless Veterans - Black, African American, or African",10166.0
2014,Sheltered ES Homeless Veterans - Hispanic/Latina/e/o,2966.0
2014,Sheltered ES Homeless Veterans - Native Hawaiian or Other Pacific Islander,96.0
2014,Sheltered ES Homeless Veterans - Non-Hispanic/Latina/e/o,24232.0
2014,Sheltered ES Homeless Veterans - White,15174.0
2014,"Sheltered SH Homeless - American Indian, Alaska Native, or Indigenous",50.0
2014,Sheltered SH Homeless - Asian or Asian American,54.0
2014,"Sheltered SH Homeless - Black, African American, or African",1572.0
2014,Sheltered SH Homeless - Hispanic/Latina/e/o,594.0
2014,Sheltered SH Homeless - Native Hawaiian or Other Pacific Islander,24.0
2014,Sheltered SH Homeless - Non-Hispanic/Latina/e/o,3434.0
2014,Sheltered SH Homeless - White,2164.0
2014,"Sheltered SH Homeless Individuals - American Indian, Alaska Native, or Indigenous",50.0
2014,Sheltered SH Homeless Individuals - Asian or Asian American,54.0
2014,"Sheltered SH Homeless Individuals - Black, African American, or African",1572.0
2014,Sheltered SH Homeless Individuals - Hispanic/Latina/e/o,594.0
2014,Sheltered SH Homeless Individuals - Native Hawaiian or Other Pacific Islander,24.0
2014,Sheltered SH Homeless Individuals - Non-Hispanic/Latina/e/o,3434.0
2014,Sheltered SH Homeless Individuals - White,2164.0
2014,"Sheltered SH Homeless Veterans - American Indian, Alaska Native, or Indigenous",8.0
2014,Sheltered SH Homeless Veterans - Asian or Asian American,2.0
2014,"Sheltered SH Homeless Veterans - Black, African American, or African",244.0
2014,Sheltered SH Homeless Veterans - Hispanic/Latina/e/o,30.0
2014,Sheltered SH Homeless Veterans - Native Hawaiian or Other Pacific Islander,2.0
2014,Sheltered SH Homeless Veterans - Non-Hispanic/Latina/e/o,518.0
2014,Sheltered SH Homeless Veterans - White,272.0
2014,"Sheltered TH Homeless - American Indian, Alaska Native, or Indigenous",6280.0
2014,Sheltered TH Homeless - Asian or Asian American,2768.0
2014,"Sheltered TH Homeless - Black, African American, or African",116472.0
2014,Sheltered TH Homeless - Hispanic/Latina/e/o,51386.0
2014,Sheltered TH Homeless - Native Hawaiian or Other Pacific Islander,3918.0
2014,Sheltered TH Homeless - Non-Hispanic/Latina/e/o,238034.0
2014,Sheltered TH Homeless - White,141758.0
2014,"Sheltered TH Homeless Individuals - American Indian, Alaska Native, or Indigenous",2552.0
2014,Sheltered TH Homeless Individuals - Asian or Asian American,1080.0
2014,"Sheltered TH Homeless Individuals - Black, African American, or African",52402.0
2014,Sheltered TH Homeless Individuals - Hispanic/Latina/e/o,17058.0
2014,Sheltered TH Homeless Individuals - Native Hawaiian or Other Pacific Islander,864.0
2014,Sheltered TH Homeless Individuals - Non-Hispanic/Latina/e/o,118500.0
2014,Sheltered TH Homeless Individuals - White,72994.0
2014,"Sheltered TH Homeless People in Families - American Indian, Alaska Native, or Indigenous",3728.0
2014,Sheltered TH Homeless People in Families - Asian or Asian American,1688.0
2014,"Sheltered TH Homeless People in Families - Black, African American, or African",64070.0
2014,Sheltered TH Homeless People in Families - Hispanic/Latina/e/o,34328.0
2014,Sheltered TH Homeless People in Families - Native Hawaiian or Other Pacific Islander,3054.0
2014,Sheltered TH Homeless People in Families - Non-Hispanic/Latina/e/o,119534.0
2014,Sheltered TH Homeless People in Families - White,68764.0
2014,"Sheltered TH Homeless Veterans - American Indian, Alaska Native, or Indigenous",546.0
2014,Sheltered TH Homeless Veterans - Asian or Asian American,244.0
2014,"Sheltered TH Homeless Veterans - Black, African American, or African",14240.0
2014,Sheltered TH Homeless Veterans - Hispanic/Latina/e/o,4228.0
2014,Sheltered TH Homeless Veterans - Native Hawaiian or Other Pacific Islander,216.0
2014,Sheltered TH Homeless Veterans - Non-Hispanic/Latina/e/o,32264.0
2014,Sheltered TH Homeless Veterans - White,20042.0
2014,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",17292.0
2014,Sheltered Total Homeless - Asian or Asian American,7894.0
2014,"Sheltered Total Homeless - Black, African American, or African",366394.0
2014,Sheltered Total Homeless - Hispanic/Latina/e/o,156386.0
2014,Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,8250.0
2014,Sheltered Total Homeless - Non-Hispanic/Latina/e/o,645716.0
2014,Sheltered Total Homeless - White,356478.0
2014,"Sheltered Total Homeless Individuals - American Indian, Alaska Native, or Indigenous",9076.0
2014,Sheltered Total Homeless Individuals - Asian or Asian American,3888.0
2014,"Sheltered Total Homeless Individuals - Black, African American, or African",171428.0
2014,Sheltered Total Homeless Individuals - Hispanic/Latina/e/o,57938.0
2014,Sheltered Total Homeless Individuals - Native Hawaiian or Other Pacific Islander,2580.0
2014,Sheltered Total Homeless Individuals - Non-Hispanic/Latina/e/o,360358.0
2014,Sheltered Total Homeless Individuals - White,212874.0
2014,"Sheltered Total Homeless People in Families - American Indian, Alaska Native, or Indigenous",8216.0
2014,Sheltered Total Homeless People in Families - Asian or Asian American,4006.0
2014,"Sheltered Total Homeless People in Families - Black, African American, or African",194966.0
2014,Sheltered Total Homeless People in Families - Hispanic/Latina/e/o,98448.0
2014,Sheltered Total Homeless People in Families - Native Hawaiian or Other Pacific Islander,5670.0
2014,Sheltered Total Homeless People in Families - Non-Hispanic/Latina/e/o,285358.0
2014,Sheltered Total Homeless People in Families - White,143604.0
2014,"Sheltered Total Homeless Veterans - American Indian, Alaska Native, or Indigenous",1136.0
2014,Sheltered Total Homeless Veterans - Asian or Asian American,446.0
2014,"Sheltered Total Homeless Veterans - Black, African American, or African",24650.0
2014,Sheltered Total Homeless Veterans - Hispanic/Latina/e/o,7224.0
2014,Sheltered Total Homeless Veterans - Native Hawaiian or Other Pacific Islander,314.0
2014,Sheltered Total Homeless Veterans - Non-Hispanic/Latina/e/o,57014.0
2014,Sheltered Total Homeless Veterans - White,35488.0
2014,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",5312.0
2014,Unsheltered Homeless - Asian or Asian American,1440.0
2014,"Unsheltered Homeless - Black, African American, or African",47552.0
2014,Unsheltered Homeless - Hispanic/Latina/e/o,28344.0
2014,Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,5618.0
2014,Unsheltered Homeless - Non-Hispanic/Latina/e/o,139006.0
2014,Unsheltered Homeless - White,100970.0
2014,"Unsheltered Homeless Individuals - American Indian, Alaska Native, or Indigenous",4448.0
2014,Unsheltered Homeless Individuals - Asian or Asian American,1330.0
2014,"Unsheltered Homeless Individuals - Black, African American, or African",42066.0
2014,Unsheltered Homeless Individuals - Hispanic/Latina/e/o,24426.0
2014,Unsheltered Homeless Individuals - Native Hawaiian or Other Pacific Islander,2750.0
2014,Unsheltered Homeless Individuals - Non-Hispanic/Latina/e/o,115538.0
2014,Unsheltered Homeless Individuals - White,84042.0
2014,"Unsheltered Homeless People in Families - American Indian, Alaska Native, or Indigenous",864.0
2014,Unsheltered Homeless People in Families - Asian or Asian American,110.0
2014,"Unsheltered Homeless People in Families - Black, African American, or African",5486.0
2014,Unsheltered Homeless People in Families - Hispanic/Latina/e/o,3918.0
2014,Unsheltered Homeless People in Families - Native Hawaiian or Other Pacific Islander,2868.0
2014,Unsheltered Homeless People in Families - Non-Hispanic/Latina/e/o,23468.0
2014,Unsheltered Homeless People in Families - White,16928.0
2014,"Unsheltered Homeless Veterans - American Indian, Alaska Native, or Indigenous",546.0
2014,Unsheltered Homeless Veterans - Asian or Asian American,122.0
2014,"Unsheltered Homeless Veterans - Black, African American, or African",5110.0
2014,Unsheltered Homeless Veterans - Hispanic/Latina/e/o,2248.0
2014,Unsheltered Homeless Veterans - Native Hawaiian or Other Pacific Islander,296.0
2014,Unsheltered Homeless Veterans - Non-Hispanic/Latina/e/o,14412.0
2014,Unsheltered Homeless Veterans - White,9854.0
2015,"Overall Homeless - American Indian, Alaska Native, or Indigenous",30272.0
2015,Overall Homeless - Asian or Asian American,12148.0
2015,"Overall Homeless - Black, African American, or African",455874.0
2015,Overall Homeless - Hispanic/Latina/e/o,225136.0
2015,Overall Homeless - Native Hawaiian or Other Pacific Islander,17654.0
2015,Overall Homeless - Non-Hispanic/Latina/e/o,904280.0
2015,Overall Homeless - White,547492.0
2015,"Overall Homeless Individuals - American Indian, Alaska Native, or Indigenous",20374.0
2015,Overall Homeless Individuals - Asian or Asian American,8570.0
2015,"Overall Homeless Individuals - Black, African American, or African",254790.0
2015,Overall Homeless Individuals - Hispanic/Latina/e/o,118080.0
2015,Overall Homeless Individuals - Native Hawaiian or Other Pacific Islander,7918.0
2015,Overall Homeless Individuals - Non-Hispanic/Latina/e/o,598764.0
2015,Overall Homeless Individuals - White,384782.0
2015,"Overall Homeless People in Families - American Indian, Alaska Native, or Indigenous",9898.0
2015,Overall Homeless People in Families - Asian or Asian American,3578.0
2015,"Overall Homeless People in Families - Black, African American, or African",201084.0
2015,Overall Homeless People in Families - Hispanic/Latina/e/o,107056.0
2015,Overall Homeless People in Families - Native Hawaiian or Other Pacific Islander,9736.0
2015,Overall Homeless People in Families - Non-Hispanic/Latina/e/o,305516.0
2015,Overall Homeless People in Families - White,162710.0
2015,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",2522.0
2015,Overall Homeless Veterans - Asian or Asian American,702.0
2015,"Overall Homeless Veterans - Black, African American, or African",32814.0
2015,Overall Homeless Veterans - Hispanic/Latina/e/o,10296.0
2015,Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,738.0
2015,Overall Homeless Veterans - Non-Hispanic/Latina/e/o,85154.0
2015,Overall Homeless Veterans - White,54202.0
2015,"Sheltered ES Homeless - American Indian, Alaska Native, or Indigenous",11366.0
2015,Sheltered ES Homeless - Asian or Asian American,4962.0
2015,"Sheltered ES Homeless - Black, African American, or African",252186.0
2015,Sheltered ES Homeless - Hispanic/Latina/e/o,110250.0
2015,Sheltered ES Homeless - Native Hawaiian or Other Pacific Islander,6308.0
2015,Sheltered ES Homeless - Non-Hispanic/Latina/e/o,408344.0
2015,Sheltered ES Homeless - White,220128.0
2015,"Sheltered ES Homeless Individuals - American Indian, Alaska Native, or Indigenous",6658.0
2015,Sheltered ES Homeless Individuals - Asian or Asian American,3006.0
2015,"Sheltered ES Homeless Individuals - Black, African American, or African",119096.0
2015,Sheltered ES Homeless Individuals - Hispanic/Latina/e/o,40518.0
2015,Sheltered ES Homeless Individuals - Native Hawaiian or Other Pacific Islander,2516.0
2015,Sheltered ES Homeless Individuals - Non-Hispanic/Latina/e/o,239422.0
2015,Sheltered ES Homeless Individuals - White,137432.0
2015,"Sheltered ES Homeless People in Families - American Indian, Alaska Native, or Indigenous",4708.0
2015,Sheltered ES Homeless People in Families - Asian or Asian American,1956.0
2015,"Sheltered ES Homeless People in Families - Black, African American, or African",133090.0
2015,Sheltered ES Homeless People in Families - Hispanic/Latina/e/o,69732.0
2015,Sheltered ES Homeless People in Families - Native Hawaiian or Other Pacific Islander,3792.0
2015,Sheltered ES Homeless People in Families - Non-Hispanic/Latina/e/o,168922.0
2015,Sheltered ES Homeless People in Families - White,82696.0
2015,"Sheltered ES Homeless Veterans - American Indian, Alaska Native, or Indigenous",632.0
2015,Sheltered ES Homeless Veterans - Asian or Asian American,186.0
2015,"Sheltered ES Homeless Veterans - Black, African American, or African",9996.0
2015,Sheltered ES Homeless Veterans - Hispanic/Latina/e/o,2110.0
2015,Sheltered ES Homeless Veterans - Native Hawaiian or Other Pacific Islander,134.0
2015,Sheltered ES Homeless Veterans - Non-Hispanic/Latina/e/o,24790.0
2015,Sheltered ES Homeless Veterans - White,15182.0
2015,"Sheltered SH Homeless - American Indian, Alaska Native, or Indigenous",56.0
2015,Sheltered SH Homeless - Asian or Asian American,36.0
2015,"Sheltered SH Homeless - Black, African American, or African",1348.0
2015,Sheltered SH Homeless - Hispanic/Latina/e/o,486.0
2015,Sheltered SH Homeless - Native Hawaiian or Other Pacific Islander,16.0
2015,Sheltered SH Homeless - Non-Hispanic/Latina/e/o,3236.0
2015,Sheltered SH Homeless - White,2068.0
2015,"Sheltered SH Homeless Individuals - American Indian, Alaska Native, or Indigenous",56.0
2015,Sheltered SH Homeless Individuals - Asian or Asian American,36.0
2015,"Sheltered SH Homeless Individuals - Black, African American, or African",1348.0
2015,Sheltered SH Homeless Individuals - Hispanic/Latina/e/o,486.0
2015,Sheltered SH Homeless Individuals - Native Hawaiian or Other Pacific Islander,16.0
2015,Sheltered SH Homeless Individuals - Non-Hispanic/Latina/e/o,3236.0
2015,Sheltered SH Homeless Individuals - White,2068.0
2015,"Sheltered SH Homeless Veterans - American Indian, Alaska Native, or Indigenous",14.0
2015,Sheltered SH Homeless Veterans - Asian or Asian American,12.0
2015,"Sheltered SH Homeless Veterans - Black, African American, or African",288.0
2015,Sheltered SH Homeless Veterans - Hispanic/Latina/e/o,80.0
2015,Sheltered SH Homeless Veterans - Native Hawaiian or Other Pacific Islander,2.0
2015,Sheltered SH Homeless Veterans - Non-Hispanic/Latina/e/o,664.0
2015,Sheltered SH Homeless Veterans - White,408.0
2015,"Sheltered TH Homeless - American Indian, Alaska Native, or Indigenous",5442.0
2015,Sheltered TH Homeless - Asian or Asian American,2390.0
2015,"Sheltered TH Homeless - Black, African American, or African",105962.0
2015,Sheltered TH Homeless - Hispanic/Latina/e/o,44916.0
2015,Sheltered TH Homeless - Native Hawaiian or Other Pacific Islander,3750.0
2015,Sheltered TH Homeless - Non-Hispanic/Latina/e/o,215648.0
2015,Sheltered TH Homeless - White,128412.0
2015,"Sheltered TH Homeless Individuals - American Indian, Alaska Native, or Indigenous",2142.0
2015,Sheltered TH Homeless Individuals - Asian or Asian American,1024.0
2015,"Sheltered TH Homeless Individuals - Black, African American, or African",48364.0
2015,Sheltered TH Homeless Individuals - Hispanic/Latina/e/o,15212.0
2015,Sheltered TH Homeless Individuals - Native Hawaiian or Other Pacific Islander,876.0
2015,Sheltered TH Homeless Individuals - Non-Hispanic/Latina/e/o,112358.0
2015,Sheltered TH Homeless Individuals - White,70816.0
2015,"Sheltered TH Homeless People in Families - American Indian, Alaska Native, or Indigenous",3300.0
2015,Sheltered TH Homeless People in Families - Asian or Asian American,1366.0
2015,"Sheltered TH Homeless People in Families - Black, African American, or African",57598.0
2015,Sheltered TH Homeless People in Families - Hispanic/Latina/e/o,29704.0
2015,Sheltered TH Homeless People in Families - Native Hawaiian or Other Pacific Islander,2874.0
2015,Sheltered TH Homeless People in Families - Non-Hispanic/Latina/e/o,103290.0
2015,Sheltered TH Homeless People in Families - White,57596.0
2015,"Sheltered TH Homeless Veterans - American Indian, Alaska Native, or Indigenous",472.0
2015,Sheltered TH Homeless Veterans - Asian or Asian American,210.0
2015,"Sheltered TH Homeless Veterans - Black, African American, or African",14140.0
2015,Sheltered TH Homeless Veterans - Hispanic/Latina/e/o,2964.0
2015,Sheltered TH Homeless Veterans - Native Hawaiian or Other Pacific Islander,200.0
2015,Sheltered TH Homeless Veterans - Non-Hispanic/Latina/e/o,32402.0
2015,Sheltered TH Homeless Veterans - White,19452.0
2015,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",16864.0
2015,Sheltered Total Homeless - Asian or Asian American,7388.0
2015,"Sheltered Total Homeless - Black, African American, or African",359496.0
2015,Sheltered Total Homeless - Hispanic/Latina/e/o,155652.0
2015,Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,10074.0
2015,Sheltered Total Homeless - Non-Hispanic/Latina/e/o,627228.0
2015,Sheltered Total Homeless - White,350608.0
2015,"Sheltered Total Homeless Individuals - American Indian, Alaska Native, or Indigenous",8856.0
2015,Sheltered Total Homeless Individuals - Asian or Asian American,4066.0
2015,"Sheltered Total Homeless Individuals - Black, African American, or African",168808.0
2015,Sheltered Total Homeless Individuals - Hispanic/Latina/e/o,56216.0
2015,Sheltered Total Homeless Individuals - Native Hawaiian or Other Pacific Islander,3408.0
2015,Sheltered Total Homeless Individuals - Non-Hispanic/Latina/e/o,355016.0
2015,Sheltered Total Homeless Individuals - White,210316.0
2015,"Sheltered Total Homeless People in Families - American Indian, Alaska Native, or Indigenous",8008.0
2015,Sheltered Total Homeless People in Families - Asian or Asian American,3322.0
2015,"Sheltered Total Homeless People in Families - Black, African American, or African",190688.0
2015,Sheltered Total Homeless People in Families - Hispanic/Latina/e/o,99436.0
2015,Sheltered Total Homeless People in Families - Native Hawaiian or Other Pacific Islander,6666.0
2015,Sheltered Total Homeless People in Families - Non-Hispanic/Latina/e/o,272212.0
2015,Sheltered Total Homeless People in Families - White,140292.0
2015,"Sheltered Total Homeless Veterans - American Indian, Alaska Native, or Indigenous",1118.0
2015,Sheltered Total Homeless Veterans - Asian or Asian American,408.0
2015,"Sheltered Total Homeless Veterans - Black, African American, or African",24424.0
2015,Sheltered Total Homeless Veterans - Hispanic/Latina/e/o,5154.0
2015,Sheltered Total Homeless Veterans - Native Hawaiian or Other Pacific Islander,336.0
2015,Sheltered Total Homeless Veterans - Non-Hispanic/Latina/e/o,57856.0
2015,Sheltered Total Homeless Veterans - White,35042.0
2015,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",13408.0
2015,Unsheltered Homeless - Asian or Asian American,4760.0
2015,"Unsheltered Homeless - Black, African American, or African",96378.0
2015,Unsheltered Homeless - Hispanic/Latina/e/o,69484.0
2015,Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,7580.0
2015,Unsheltered Homeless - Non-Hispanic/Latina/e/o,277052.0
2015,Unsheltered Homeless - White,196884.0
2015,"Unsheltered Homeless Individuals - American Indian, Alaska Native, or Indigenous",11518.0
2015,Unsheltered Homeless Individuals - Asian or Asian American,4504.0
2015,"Unsheltered Homeless Individuals - Black, African American, or African",85982.0
2015,Unsheltered Homeless Individuals - Hispanic/Latina/e/o,61864.0
2015,Unsheltered Homeless Individuals - Native Hawaiian or Other Pacific Islander,4510.0
2015,Unsheltered Homeless Individuals - Non-Hispanic/Latina/e/o,243748.0
2015,Unsheltered Homeless Individuals - White,174466.0
2015,"Unsheltered Homeless People in Families - American Indian, Alaska Native, or Indigenous",1890.0
2015,Unsheltered Homeless People in Families - Asian or Asian American,256.0
2015,"Unsheltered Homeless People in Families - Black, African American, or African",10396.0
2015,Unsheltered Homeless People in Families - Hispanic/Latina/e/o,7620.0
2015,Unsheltered Homeless People in Families - Native Hawaiian or Other Pacific Islander,3070.0
2015,Unsheltered Homeless People in Families - Non-Hispanic/Latina/e/o,33304.0
2015,Unsheltered Homeless People in Families - White,22418.0
2015,"Unsheltered Homeless Veterans - American Indian, Alaska Native, or Indigenous",1404.0
2015,Unsheltered Homeless Veterans - Asian or Asian American,294.0
2015,"Unsheltered Homeless Veterans - Black, African American, or African",8390.0
2015,Unsheltered Homeless Veterans - Hispanic/Latina/e/o,5142.0
2015,Unsheltered Homeless Veterans - Native Hawaiian or Other Pacific Islander,402.0
2015,Unsheltered Homeless Veterans - Non-Hispanic/Latina/e/o,27298.0
2015,Unsheltered Homeless Veterans - White,19160.0
2016,"Overall Homeless - American Indian, Alaska Native, or Indigenous",30458.0
2016,Overall Homeless - Asian or Asian American,11206.0
2016,"Overall Homeless - Black, African American, or African",430354.0
2016,Overall Homeless - Hispanic/Latina/e/o,242598.0
2016,Overall Homeless - Native Hawaiian or Other Pacific Islander,17468.0
2016,Overall Homeless - Non-Hispanic/Latina/e/o,857258.0
2016,Overall Homeless - White,531320.0
2016,"Overall Homeless Individuals - American Indian, Alaska Native, or Indigenous",22064.0
2016,Overall Homeless Individuals - Asian or Asian American,7830.0
2016,"Overall Homeless Individuals - Black, African American, or African",250200.0
2016,Overall Homeless Individuals - Hispanic/Latina/e/o,121064.0
2016,Overall Homeless Individuals - Native Hawaiian or Other Pacific Islander,8508.0
2016,Overall Homeless Individuals - Non-Hispanic/Latina/e/o,589360.0
2016,Overall Homeless Individuals - White,379630.0
2016,"Overall Homeless People in Families - American Indian, Alaska Native, or Indigenous",8394.0
2016,Overall Homeless People in Families - Asian or Asian American,3376.0
2016,"Overall Homeless People in Families - Black, African American, or African",180154.0
2016,Overall Homeless People in Families - Hispanic/Latina/e/o,121534.0
2016,Overall Homeless People in Families - Native Hawaiian or Other Pacific Islander,8960.0
2016,Overall Homeless People in Families - Non-Hispanic/Latina/e/o,267898.0
2016,Overall Homeless People in Families - White,151690.0
2016,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",2174.0
2016,Overall Homeless Veterans - Asian or Asian American,506.0
2016,"Overall Homeless Veterans - Black, African American, or African",25974.0
2016,Overall Homeless Veterans - Hispanic/Latina/e/o,7116.0
2016,Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,662.0
2016,Overall Homeless Veterans - Non-Hispanic/Latina/e/o,71826.0
2016,Overall Homeless Veterans - White,45930.0
2016,"Sheltered ES Homeless - American Indian, Alaska Native, or Indigenous",10836.0
2016,Sheltered ES Homeless - Asian or Asian American,4774.0
2016,"Sheltered ES Homeless - Black, African American, or African",240692.0
2016,Sheltered ES Homeless - Hispanic/Latina/e/o,131508.0
2016,Sheltered ES Homeless - Native Hawaiian or Other Pacific Islander,5588.0
2016,Sheltered ES Homeless - Non-Hispanic/Latina/e/o,377104.0
2016,Sheltered ES Homeless - White,211390.0
2016,"Sheltered ES Homeless Individuals - American Indian, Alaska Native, or Indigenous",6758.0
2016,Sheltered ES Homeless Individuals - Asian or Asian American,2916.0
2016,"Sheltered ES Homeless Individuals - Black, African American, or African",120024.0
2016,Sheltered ES Homeless Individuals - Hispanic/Latina/e/o,45076.0
2016,Sheltered ES Homeless Individuals - Native Hawaiian or Other Pacific Islander,2418.0
2016,Sheltered ES Homeless Individuals - Non-Hispanic/Latina/e/o,231546.0
2016,Sheltered ES Homeless Individuals - White,133186.0
2016,"Sheltered ES Homeless People in Families - American Indian, Alaska Native, or Indigenous",4078.0
2016,Sheltered ES Homeless People in Families - Asian or Asian American,1858.0
2016,"Sheltered ES Homeless People in Families - Black, African American, or African",120668.0
2016,Sheltered ES Homeless People in Families - Hispanic/Latina/e/o,86432.0
2016,Sheltered ES Homeless People in Families - Native Hawaiian or Other Pacific Islander,3170.0
2016,Sheltered ES Homeless People in Families - Non-Hispanic/Latina/e/o,145558.0
2016,Sheltered ES Homeless People in Families - White,78204.0
2016,"Sheltered ES Homeless Veterans - American Indian, Alaska Native, or Indigenous",476.0
2016,Sheltered ES Homeless Veterans - Asian or Asian American,112.0
2016,"Sheltered ES Homeless Veterans - Black, African American, or African",7442.0
2016,Sheltered ES Homeless Veterans - Hispanic/Latina/e/o,1416.0
2016,Sheltered ES Homeless Veterans - Native Hawaiian or Other Pacific Islander,84.0
2016,Sheltered ES Homeless Veterans - Non-Hispanic/Latina/e/o,18878.0
2016,Sheltered ES Homeless Veterans - White,11520.0
2016,"Sheltered SH Homeless - American Indian, Alaska Native, or Indigenous",48.0
2016,Sheltered SH Homeless - Asian or Asian American,46.0
2016,"Sheltered SH Homeless - Black, African American, or African",1256.0
2016,Sheltered SH Homeless - Hispanic/Latina/e/o,444.0
2016,Sheltered SH Homeless - Native Hawaiian or Other Pacific Islander,16.0
2016,Sheltered SH Homeless - Non-Hispanic/Latina/e/o,2928.0
2016,Sheltered SH Homeless - White,1818.0
2016,"Sheltered SH Homeless Individuals - American Indian, Alaska Native, or Indigenous",48.0
2016,Sheltered SH Homeless Individuals - Asian or Asian American,46.0
2016,"Sheltered SH Homeless Individuals - Black, African American, or African",1256.0
2016,Sheltered SH Homeless Individuals - Hispanic/Latina/e/o,444.0
2016,Sheltered SH Homeless Individuals - Native Hawaiian or Other Pacific Islander,16.0
2016,Sheltered SH Homeless Individuals - Non-Hispanic/Latina/e/o,2928.0
2016,Sheltered SH Homeless Individuals - White,1818.0
2016,"Sheltered SH Homeless Veterans - American Indian, Alaska Native, or Indigenous",8.0
2016,Sheltered SH Homeless Veterans - Asian or Asian American,4.0
2016,"Sheltered SH Homeless Veterans - Black, African American, or African",188.0
2016,Sheltered SH Homeless Veterans - Hispanic/Latina/e/o,34.0
2016,Sheltered SH Homeless Veterans - Native Hawaiian or Other Pacific Islander,4.0
2016,Sheltered SH Homeless Veterans - Non-Hispanic/Latina/e/o,492.0
2016,Sheltered SH Homeless Veterans - White,292.0
2016,"Sheltered TH Homeless - American Indian, Alaska Native, or Indigenous",4876.0
2016,Sheltered TH Homeless - Asian or Asian American,2132.0
2016,"Sheltered TH Homeless - Black, African American, or African",95298.0
