year,gender,total_count
2017,Sheltered ES Homeless People in Families - Non Binary,66.0
2017,Sheltered ES Homeless People in Families - Transgender,116.0
2017,Sheltered ES Homeless People in Families - Woman,147462.0
2017,Sheltered ES Homeless Veterans - Man,18916.0
2017,Sheltered ES Homeless Veterans - Non Binary,10.0
2017,Sheltered ES Homeless Veterans - Transgender,40.0
2017,Sheltered ES Homeless Veterans - Woman,2042.0
2017,Sheltered SH Homeless - Man,1916.0
2017,Sheltered SH Homeless - Transgender,12.0
2017,Sheltered SH Homeless - Woman,998.0
2017,Sheltered SH Homeless Individuals - Man,1916.0
2017,Sheltered SH Homeless Individuals - Transgender,12.0
2017,Sheltered SH Homeless Individuals - Woman,998.0
2017,Sheltered SH Homeless Veterans - Man,592.0
2017,Sheltered SH Homeless Veterans - Transgender,2.0
2017,Sheltered SH Homeless Veterans - Woman,26.0
2017,Sheltered TH Homeless - Man,107010.0
2017,Sheltered TH Homeless - Non Binary,206.0
2017,Sheltered TH Homeless - Transgender,770.0
2017,Sheltered TH Homeless - Woman,85962.0
2017,Sheltered TH Homeless Individuals - Man,72598.0
2017,Sheltered TH Homeless Individuals - Non Binary,86.0
2017,Sheltered TH Homeless Individuals - Transgender,746.0
2017,Sheltered TH Homeless Individuals - Woman,28246.0
2017,Sheltered TH Homeless People in Families - Man,34412.0
2017,Sheltered TH Homeless People in Families - Non Binary,120.0
2017,Sheltered TH Homeless People in Families - Transgender,24.0
2017,Sheltered TH Homeless People in Families - Woman,57716.0
2017,Sheltered TH Homeless Veterans - Man,25604.0
2017,Sheltered TH Homeless Veterans - Non Binary,14.0
2017,Sheltered TH Homeless Veterans - Transgender,60.0
2017,Sheltered TH Homeless Veterans - Woman,2074.0
2017,Sheltered Total Homeless - Man,397870.0
2017,Sheltered Total Homeless - Non Binary,452.0
2017,Sheltered Total Homeless - Transgender,2200.0
2017,Sheltered Total Homeless - Woman,321212.0
2017,Sheltered Total Homeless Individuals - Man,267928.0
2017,Sheltered Total Homeless Individuals - Non Binary,266.0
2017,Sheltered Total Homeless Individuals - Transgender,2060.0
2017,Sheltered Total Homeless Individuals - Woman,116034.0
2017,Sheltered Total Homeless People in Families - Man,129942.0
2017,Sheltered Total Homeless People in Families - Non Binary,186.0
2017,Sheltered Total Homeless People in Families - Transgender,140.0
2017,Sheltered Total Homeless People in Families - Woman,205178.0
2017,Sheltered Total Homeless Veterans - Man,45112.0
2017,Sheltered Total Homeless Veterans - Non Binary,24.0
2017,Sheltered Total Homeless Veterans - Transgender,102.0
2017,Sheltered Total Homeless Veterans - Woman,4142.0
2017,Unsheltered Homeless - Man,268228.0
2017,Unsheltered Homeless - Non Binary,1316.0
2017,Unsheltered Homeless - Transgender,1976.0
2017,Unsheltered Homeless - Woman,108738.0
2017,Unsheltered Homeless Individuals - Man,252278.0
2017,Unsheltered Homeless Individuals - Non Binary,1192.0
2017,Unsheltered Homeless Individuals - Transgender,1946.0
2017,Unsheltered Homeless Individuals - Woman,91466.0
2017,Unsheltered Homeless People in Families - Man,15950.0
2017,Unsheltered Homeless People in Families - Non Binary,124.0
2017,Unsheltered Homeless People in Families - Transgender,30.0
2017,Unsheltered Homeless People in Families - Woman,17272.0
2017,Unsheltered Homeless Veterans - Man,27420.0
2017,Unsheltered Homeless Veterans - Non Binary,80.0
2017,Unsheltered Homeless Veterans - Transgender,160.0
2017,Unsheltered Homeless Veterans - Woman,3000.0
2018,Overall Homeless - Man,665850.0
2018,Overall Homeless - Non Binary,2346.0
2018,Overall Homeless - Transgender,5042.0
2018,Overall Homeless - Woman,432422.0
2018,Overall Homeless Individuals - Man,524050.0
2018,Overall Homeless Individuals - Non Binary,2150.0
2018,Overall Homeless Individuals - Transgender,4892.0
2018,Overall Homeless Individuals - Woman,213742.0
2018,Overall Homeless People in Families - Man,141800.0
2018,Overall Homeless People in Families - Non Binary,196.0
2018,Overall Homeless People in Families - Transgender,150.0
2018,Overall Homeless People in Families - Woman,218680.0
2018,Overall Homeless Veterans - Man,68824.0
2018,Overall Homeless Veterans - Non Binary,146.0
2018,Overall Homeless Veterans - Transgender,348.0
2018,Overall Homeless Veterans - Woman,6438.0
2018,Sheltered ES Homeless - Man,301654.0
2018,Sheltered ES Homeless - Non Binary,280.0
2018,Sheltered ES Homeless - Transgender,1364.0
2018,Sheltered ES Homeless - Woman,248112.0
2018,Sheltered ES Homeless Individuals - Man,202862.0
2018,Sheltered ES Homeless Individuals - Non Binary,234.0
2018,Sheltered ES Homeless Individuals - Transgender,1294.0
2018,Sheltered ES Homeless Individuals - Woman,93138.0
2018,Sheltered ES Homeless People in Families - Man,98792.0
2018,Sheltered ES Homeless People in Families - Non Binary,46.0
2018,Sheltered ES Homeless People in Families - Transgender,70.0
2018,Sheltered ES Homeless People in Families - Woman,154974.0
2018,Sheltered ES Homeless Veterans - Man,19336.0
2018,Sheltered ES Homeless Veterans - Non Binary,2.0
2018,Sheltered ES Homeless Veterans - Transgender,56.0
2018,Sheltered ES Homeless Veterans - Woman,1984.0
2018,Sheltered SH Homeless - Man,2814.0
2018,Sheltered SH Homeless - Non Binary,4.0
2018,Sheltered SH Homeless - Transgender,22.0
2018,Sheltered SH Homeless - Woman,1054.0
2018,Sheltered SH Homeless Individuals - Man,2814.0
2018,Sheltered SH Homeless Individuals - Non Binary,4.0
2018,Sheltered SH Homeless Individuals - Transgender,22.0
2018,Sheltered SH Homeless Individuals - Woman,1054.0
2018,Sheltered SH Homeless Veterans - Man,1220.0
2018,Sheltered SH Homeless Veterans - Transgender,6.0
2018,Sheltered SH Homeless Veterans - Woman,48.0
2018,Sheltered TH Homeless - Man,89582.0
2018,Sheltered TH Homeless - Non Binary,128.0
2018,Sheltered TH Homeless - Transgender,830.0
2018,Sheltered TH Homeless - Woman,70882.0
2018,Sheltered TH Homeless Individuals - Man,62154.0
2018,Sheltered TH Homeless Individuals - Non Binary,120.0
2018,Sheltered TH Homeless Individuals - Transgender,812.0
2018,Sheltered TH Homeless Individuals - Woman,24172.0
2018,Sheltered TH Homeless People in Families - Man,27428.0
2018,Sheltered TH Homeless People in Families - Non Binary,8.0
2018,Sheltered TH Homeless People in Families - Transgender,18.0
2018,Sheltered TH Homeless People in Families - Woman,46710.0
2018,Sheltered TH Homeless Veterans - Man,22324.0
2018,Sheltered TH Homeless Veterans - Transgender,58.0
2018,Sheltered TH Homeless Veterans - Woman,1590.0
2018,Sheltered Total Homeless - Man,394050.0
2018,Sheltered Total Homeless - Non Binary,412.0
2018,Sheltered Total Homeless - Transgender,2216.0
2018,Sheltered Total Homeless - Woman,320048.0
2018,Sheltered Total Homeless Individuals - Man,267830.0
2018,Sheltered Total Homeless Individuals - Non Binary,358.0
2018,Sheltered Total Homeless Individuals - Transgender,2128.0
2018,Sheltered Total Homeless Individuals - Woman,118364.0
2018,Sheltered Total Homeless People in Families - Man,126220.0
2018,Sheltered Total Homeless People in Families - Non Binary,54.0
2018,Sheltered Total Homeless People in Families - Transgender,88.0
2018,Sheltered Total Homeless People in Families - Woman,201684.0
2018,Sheltered Total Homeless Veterans - Man,42880.0
2018,Sheltered Total Homeless Veterans - Non Binary,2.0
2018,Sheltered Total Homeless Veterans - Transgender,120.0
2018,Sheltered Total Homeless Veterans - Woman,3622.0
2018,Unsheltered Homeless - Man,271800.0
2018,Unsheltered Homeless - Non Binary,1934.0
2018,Unsheltered Homeless - Transgender,2826.0
2018,Unsheltered Homeless - Woman,112374.0
2018,Unsheltered Homeless Individuals - Man,256220.0
2018,Unsheltered Homeless Individuals - Non Binary,1792.0
2018,Unsheltered Homeless Individuals - Transgender,2764.0
2018,Unsheltered Homeless Individuals - Woman,95378.0
2018,Unsheltered Homeless People in Families - Man,15580.0
2018,Unsheltered Homeless People in Families - Non Binary,142.0
2018,Unsheltered Homeless People in Families - Transgender,62.0
2018,Unsheltered Homeless People in Families - Woman,16996.0
2018,Unsheltered Homeless Veterans - Man,25944.0
2018,Unsheltered Homeless Veterans - Non Binary,144.0
2018,Unsheltered Homeless Veterans - Transgender,228.0
2018,Unsheltered Homeless Veterans - Woman,2816.0
2019,Overall Homeless - Man,686374.0
2019,Overall Homeless - Non Binary,2724.0
2019,Overall Homeless - Transgender,6510.0
2019,Overall Homeless - Woman,439822.0
2019,Overall Homeless Individuals - Man,551814.0
2019,Overall Homeless Individuals - Non Binary,2630.0
2019,Overall Homeless Individuals - Transgender,6376.0
2019,Overall Homeless Individuals - Woman,231270.0
2019,Overall Homeless People in Families - Man,134560.0
2019,Overall Homeless People in Families - Non Binary,94.0
2019,Overall Homeless People in Families - Transgender,134.0
2019,Overall Homeless People in Families - Woman,208552.0
2019,Overall Homeless Veterans - Man,66984.0
2019,Overall Homeless Veterans - Non Binary,162.0
2019,Overall Homeless Veterans - Transgender,440.0
2019,Overall Homeless Veterans - Woman,6584.0
2019,Sheltered ES Homeless - Man,309258.0
2019,Sheltered ES Homeless - Non Binary,350.0
2019,Sheltered ES Homeless - Transgender,1702.0
2019,Sheltered ES Homeless - Woman,247344.0
2019,Sheltered ES Homeless Individuals - Man,213800.0
2019,Sheltered ES Homeless Individuals - Non Binary,318.0
2019,Sheltered ES Homeless Individuals - Transgender,1644.0
2019,Sheltered ES Homeless Individuals - Woman,97584.0
2019,Sheltered ES Homeless People in Families - Man,95458.0
2019,Sheltered ES Homeless People in Families - Non Binary,32.0
2019,Sheltered ES Homeless People in Families - Transgender,58.0
2019,Sheltered ES Homeless People in Families - Woman,149760.0
2019,Sheltered ES Homeless Veterans - Man,19506.0
2019,Sheltered ES Homeless Veterans - Non Binary,12.0
2019,Sheltered ES Homeless Veterans - Transgender,56.0
2019,Sheltered ES Homeless Veterans - Woman,2030.0
2019,Sheltered SH Homeless - Man,3028.0
2019,Sheltered SH Homeless - Transgender,16.0
2019,Sheltered SH Homeless - Woman,822.0
2019,Sheltered SH Homeless Individuals - Man,3028.0
2019,Sheltered SH Homeless Individuals - Transgender,16.0
2019,Sheltered SH Homeless Individuals - Woman,822.0
2019,Sheltered SH Homeless Veterans - Man,1790.0
2019,Sheltered SH Homeless Veterans - Transgender,4.0
2019,Sheltered SH Homeless Veterans - Woman,70.0
2019,Sheltered TH Homeless - Man,83070.0
2019,Sheltered TH Homeless - Non Binary,244.0
2019,Sheltered TH Homeless - Transgender,754.0
2019,Sheltered TH Homeless - Woman,66256.0
2019,Sheltered TH Homeless Individuals - Man,57628.0
2019,Sheltered TH Homeless Individuals - Non Binary,220.0
2019,Sheltered TH Homeless Individuals - Transgender,714.0
2019,Sheltered TH Homeless Individuals - Woman,23288.0
2019,Sheltered TH Homeless People in Families - Man,25442.0
2019,Sheltered TH Homeless People in Families - Non Binary,24.0
2019,Sheltered TH Homeless People in Families - Transgender,40.0
2019,Sheltered TH Homeless People in Families - Woman,42968.0
2019,Sheltered TH Homeless Veterans - Man,20488.0
2019,Sheltered TH Homeless Veterans - Transgender,28.0
2019,Sheltered TH Homeless Veterans - Woman,1496.0
2019,Sheltered Total Homeless - Man,395356.0
2019,Sheltered Total Homeless - Non Binary,594.0
2019,Sheltered Total Homeless - Transgender,2472.0
2019,Sheltered Total Homeless - Woman,314422.0
2019,Sheltered Total Homeless Individuals - Man,274456.0
2019,Sheltered Total Homeless Individuals - Non Binary,538.0
2019,Sheltered Total Homeless Individuals - Transgender,2374.0
2019,Sheltered Total Homeless Individuals - Woman,121694.0
2019,Sheltered Total Homeless People in Families - Man,120900.0
2019,Sheltered Total Homeless People in Families - Non Binary,56.0
2019,Sheltered Total Homeless People in Families - Transgender,98.0
2019,Sheltered Total Homeless People in Families - Woman,192728.0
2019,Sheltered Total Homeless Veterans - Man,41784.0
2019,Sheltered Total Homeless Veterans - Non Binary,12.0
2019,Sheltered Total Homeless Veterans - Transgender,88.0
2019,Sheltered Total Homeless Veterans - Woman,3596.0
2019,Unsheltered Homeless - Man,291018.0
2019,Unsheltered Homeless - Non Binary,2130.0
2019,Unsheltered Homeless - Transgender,4038.0
2019,Unsheltered Homeless - Woman,125400.0
2019,Unsheltered Homeless Individuals - Man,277358.0
2019,Unsheltered Homeless Individuals - Non Binary,2092.0
2019,Unsheltered Homeless Individuals - Transgender,4002.0
2019,Unsheltered Homeless Individuals - Woman,109576.0
2019,Unsheltered Homeless People in Families - Man,13660.0
2019,Unsheltered Homeless People in Families - Non Binary,38.0
2019,Unsheltered Homeless People in Families - Transgender,36.0
2019,Unsheltered Homeless People in Families - Woman,15824.0
2019,Unsheltered Homeless Veterans - Man,25200.0
2019,Unsheltered Homeless Veterans - Non Binary,150.0
2019,Unsheltered Homeless Veterans - Transgender,352.0
2019,Unsheltered Homeless Veterans - Woman,2988.0
2020,Overall Homeless - Man,704422.0
2020,Overall Homeless - Non Binary,2920.0
2020,Overall Homeless - Transgender,6322.0
2020,Overall Homeless - Woman,447156.0
2020,Overall Homeless Individuals - Man,569198.0
2020,Overall Homeless Individuals - Non Binary,2420.0
2020,Overall Homeless Individuals - Transgender,6134.0
2020,Overall Homeless Individuals - Woman,240030.0
2020,Overall Homeless People in Families - Man,135224.0
2020,Overall Homeless People in Families - Non Binary,500.0
2020,Overall Homeless People in Families - Transgender,188.0
2020,Overall Homeless People in Families - Woman,207126.0
2020,Overall Homeless Veterans - Man,67724.0
2020,Overall Homeless Veterans - Non Binary,218.0
2020,Overall Homeless Veterans - Transgender,310.0
2020,Overall Homeless Veterans - Woman,6252.0
2020,Sheltered ES Homeless - Man,308284.0
2020,Sheltered ES Homeless - Non Binary,566.0
2020,Sheltered ES Homeless - Transgender,1880.0
2020,Sheltered ES Homeless - Woman,249080.0
2020,Sheltered ES Homeless Individuals - Man,211918.0
2020,Sheltered ES Homeless Individuals - Non Binary,318.0
2020,Sheltered ES Homeless Individuals - Transgender,1788.0
2020,Sheltered ES Homeless Individuals - Woman,99670.0
2020,Sheltered ES Homeless People in Families - Man,96366.0
2020,Sheltered ES Homeless People in Families - Non Binary,248.0
2020,Sheltered ES Homeless People in Families - Transgender,92.0
2020,Sheltered ES Homeless People in Families - Woman,149410.0
2020,Sheltered ES Homeless Veterans - Man,18392.0
2020,Sheltered ES Homeless Veterans - Non Binary,20.0
2020,Sheltered ES Homeless Veterans - Transgender,62.0
2020,Sheltered ES Homeless Veterans - Woman,1810.0
2020,Sheltered SH Homeless - Man,3176.0
2020,Sheltered SH Homeless - Non Binary,4.0
2020,Sheltered SH Homeless - Transgender,26.0
2020,Sheltered SH Homeless - Woman,766.0
2020,Sheltered SH Homeless Individuals - Man,3176.0
2020,Sheltered SH Homeless Individuals - Non Binary,4.0
2020,Sheltered SH Homeless Individuals - Transgender,26.0
2020,Sheltered SH Homeless Individuals - Woman,766.0
2020,Sheltered SH Homeless Veterans - Man,1988.0
2020,Sheltered SH Homeless Veterans - Transgender,4.0
2020,Sheltered SH Homeless Veterans - Woman,76.0
2020,Sheltered TH Homeless - Man,80136.0
2020,Sheltered TH Homeless - Non Binary,308.0
2020,Sheltered TH Homeless - Transgender,918.0
2020,Sheltered TH Homeless - Woman,63516.0
2020,Sheltered TH Homeless Individuals - Man,56638.0
2020,Sheltered TH Homeless Individuals - Non Binary,290.0
2020,Sheltered TH Homeless Individuals - Transgender,872.0
2020,Sheltered TH Homeless Individuals - Woman,23490.0
2020,Sheltered TH Homeless People in Families - Man,23498.0
2020,Sheltered TH Homeless People in Families - Non Binary,18.0
2020,Sheltered TH Homeless People in Families - Transgender,46.0
2020,Sheltered TH Homeless People in Families - Woman,40026.0
2020,Sheltered TH Homeless Veterans - Man,20268.0
2020,Sheltered TH Homeless Veterans - Non Binary,6.0
2020,Sheltered TH Homeless Veterans - Transgender,32.0
2020,Sheltered TH Homeless Veterans - Woman,1438.0
2020,Sheltered Total Homeless - Man,391596.0
2020,Sheltered Total Homeless - Non Binary,878.0
2020,Sheltered Total Homeless - Transgender,2824.0
